index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,DJ0,Label Events0,Open Air / Festival0,name,byArtist,url,id_x,time,track_number,mashup,mashup_name,beatport0,apple0,spotify0,spotify1,spotify2,spotify3,spotify4,soundcloud0,apple1,traxsource0,apple2,beatport1,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
0,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - Come With Me,Cosmic Gate,/track/2utv5v05/cosmic-gate-come-with-me/index.html,504128, 0:05 ,01,False,,12069065,1457677980,1honw3D3A6aQou1T76mAbr,79tzJV5f4O4qek7zg9qJaX,2C26IhlBo9ObaJZPjDpOTU,3ojIcRRn24zTwjxmixrtab,3jr1lp84p0ftpFkD3Tos5L,639819957,,,,,0.532,0.753,7.0,-10.362,0.0,0.0361,0.000194,0.55,0.763,0.134,127.995,1honw3D3A6aQou1T76mAbr,545377.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
1,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - Light Years,Cosmic Gate,/track/uks1bdp/cosmic-gate-light-years/index.html,512922, 8:20 ,02,False,,12378162,1475091806,2BLsDkV8FSHvIvAMZveTGt,,,,,,,,,,0.557,0.899,4.0,-7.88,0.0,0.0561,0.00854,0.919,0.129,0.185,128.01,2BLsDkV8FSHvIvAMZveTGt,251250.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
2,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate & Forêt - Need To Feel Loved,Cosmic Gate & Forêt,/track/1113rsdx/cosmic-gate-foret-need-to-feel-loved/index.html,470959, 14:18 ,03,False,,11557238,1451071583,3dxpmxWvJQyOpZY7lTP7r6,1zIJUpDgodBceceluWYArF,,,,,1451071580,,,,0.629,0.743,2.0,-6.415,0.0,0.0429,0.00198,0.0295,0.0626,0.201,128.01,3dxpmxWvJQyOpZY7lTP7r6,411564.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
3,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - Consciousness (Genix Remix / Cosmic Gate Edit),Cosmic Gate,/track/n191jrp/cosmic-gate-consciousness-genix-remix-cosmic-gate-edit/index.html,517878, 20:00 ,04,False,,12462493,1473957404,5SfkzHZLsJxsmuN53GvC0d,,,,,,1473959041,,,,0.654,0.913,11.0,-7.323,1.0,0.0488,0.0476,0.896,0.198,0.161,127.972,5SfkzHZLsJxsmuN53GvC0d,202500.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
4,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Gabriel & Dresden ft. Sub Teal - Only Road (Cosmic Gate Remix),Gabriel & Dresden,/track/19c5b9pp/gabriel-dresden-only-road-cosmic-gate-remix/index.html,398094, 24:10 ,05,False,,10287224,1340484522,30r107ODEMiFUEpnFHSGW7,,,,,403997043,1411557242,5100672,,,0.495,0.866,7.0,-5.383,1.0,0.0662,0.00409,0.184,0.13,0.146,127.995,30r107ODEMiFUEpnFHSGW7,225000.0,4.0,"edm,progressive house,progressive trance,trance,uplifting trance"
5,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate & JES - Fall Into You,Cosmic Gate & JES,/track/2n489xuf/cosmic-gate-jes-fall-into-you/index.html,337245, 28:20 ,06,False,,8702411,1251405859,1RDEORIdkRxuMb4MedxAQy,,,,,,,4048642,,,0.483,0.644,8.0,-6.024,0.0,0.0825,0.129,1.14e-05,0.0967,0.306,127.68,1RDEORIdkRxuMb4MedxAQy,207228.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
6,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - The Wave 2.0,Cosmic Gate,/track/vhlw3bf/cosmic-gate-the-wave-2.0/index.html,514141, 34:00 ,07,False,,12378004,1475092516,3OtTU2P4UaGHek9EKdQdWo,0s3RMQJCObJ60jDI9iOzjZ,,,,,1473957395,,1475092515,,0.629,0.813,5.0,-7.508,1.0,0.0516,0.00227,0.609,0.0556,0.0388,130.009,3OtTU2P4UaGHek9EKdQdWo,419077.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
7,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Mauro Picotto - Lizard (Cosmic Gate Remix),Mauro Picotto,/track/k7sgstp/mauro-picotto-lizard-cosmic-gate-remix/index.html,514142, 42:20 ,08,False,,12462481,1473957387,0UMNOJ0X7qp4UOlMXe5Haf,,,,,,,,,12552668,0.655,0.757,4.0,-7.889,0.0,0.0579,0.00219,0.784,0.116,0.0371,129.979,0UMNOJ0X7qp4UOlMXe5Haf,405231.0,4.0,"bubble trance,hard house,italian trance,trance"
8,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate vs. Prodigy - Exploration Of Outer Space (Cosmic Gate Third Contact Mash Up),Cosmic Gate vs. Prodigy,/track/1bdjygmf/cosmic-gate-prodigy-exploration-of-outer-space-cosmic-gate-third-contact-mash-up/index.html,517585, 44:10 ,09,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,The Prodigy - Out Of Space,The Prodigy,/track/gh8705/the-prodigy-out-of-space/index.html,5760,,,True,Cosmic Gate vs. Prodigy - Exploration Of Outer Space (Cosmic Gate Third Contact Mash Up),480881,1051345767,3CL3PBAaY6l0ZuQ3EDw4cl,,,,,,,,,,0.639,0.872,9.0,-10.968,1.0,0.0555,0.00147,0.315,0.106,0.608,147.096,3CL3PBAaY6l0ZuQ3EDw4cl,298227.0,4.0,"big beat,breakbeat,hardcore techno,rave"
10,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - Exploration Of Space (Cosmic Gate Third Contact Remix),Cosmic Gate,/track/2jcwm5hf/cosmic-gate-exploration-of-space-cosmic-gate-third-contact-remix/index.html,298433,,,True,The Prodigy - Out Of Space,7758195,1411558577,78Id1AzKJ3G6OYK15Mwkwx,,,,,256480438,,,,,0.597,0.931,7.0,-4.951,1.0,0.0598,0.00157,0.346,0.0802,0.521,132.013,78Id1AzKJ3G6OYK15Mwkwx,189545.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
11,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Cosmic Gate - am2pm,Cosmic Gate,/track/1c3tmtpf/cosmic-gate-am2pm/index.html,298425, 49:30 ,10,False,,7664431,1411557813,4j9UEmmPDfWMeyOlxNtTM0,,,,,,,4048648,,,0.515,0.955,4.0,-5.723,1.0,0.0483,0.0409,0.915,0.104,0.2,127.994,4j9UEmmPDfWMeyOlxNtTM0,182731.0,4.0,"edm,german techno,german trance,progressive house,progressive trance,trance,uplifting trance"
12,1r4qp141,"Cosmic Gate @ ASOT Stage, Tomorrowland Weekend 2, Belgium 2019-07-28","Sun, Jul 28 2019",4713,6,all,11,Trance,Cosmic Gate,ASOT Events,Tomorrowland,Rank 1 - L.E.D. There Be Light (Cosmic Gate Remix),Rank 1,/track/2jhv4vbf/rank-1-l.e.d.-there-be-light-cosmic-gate-remix/index.html,431133, 54:45 ,11,False,,10785810,1406289242,6hoqmcqEcsWhLlVYtUBhN0,,,,,477472503,1411558205,,,,0.508,0.914,6.0,-5.592,0.0,0.0834,0.0061,0.909,0.382,0.149,132.018,6hoqmcqEcsWhLlVYtUBhN0,210572.0,4.0,"bubble trance,dutch trance,progressive house,trance,uplifting trance"
