index,tracklist_id,tracklist_name,tracklist_date,tracklist_userpagevisits,tracklist_userlikes,tracklist_tracks_IDed,tracklist_tracks_total,genre0,name,byArtist,url,id_x,time,track_number,mashup,beatport0,apple0,spotify0,spotify1,soundcloud0,video0,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id_y,duration_ms,time_signature,genres
0,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Safe And Sound,Justice,/track/2crfj0hf/justice-safe-and-sound/index.html,316545, ,01,False,8156323,1151158104,5pqbHlHaVbkHJQlsAxhcZM,0KzJq2cbmQ7PgVa7dfaJfg,272628896,,0.602,0.793,6.0,-5.198,0.0,0.0623,7.79e-05,0.139,0.0968,0.583,115.001,5pqbHlHaVbkHJQlsAxhcZM,345304.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
1,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - D.A.N.C.E.,Justice,/track/8vts3uf/justice-d.a.n.c.e./index.html,22909, 7:35 ,w/,False,484485,259751997,0MYTcPXAAmeKBUpBgtAV0J,,18561928,,0.594,0.961,6.0,-5.443,0.0,0.338,0.0463,0.0,0.853,0.531,113.126,0MYTcPXAAmeKBUpBgtAV0J,209987.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
2,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Canon,Justice,/track/6hljlhf/justice-canon/index.html,65185, 8:02 ,02,False,,469202504,5GsdNmkpAbtZnUt5VxtbHm,,254586634,,0.647,0.815,1.0,-5.17,0.0,0.0348,0.0396,0.7,0.205,0.352,110.968,5GsdNmkpAbtZnUt5VxtbHm,219040.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
3,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Love S.O.S.,Justice,/track/2fmq9fg5/justice-love-s.o.s./index.html,339032, 10:17 ,w/,False,8651387,1151158443,3K3gJEbDUQPUIhw15MytrL,,280928873,,0.185,0.718,10.0,-5.791,1.0,0.0468,0.0362,2.23e-06,0.166,0.0488,113.136,3K3gJEbDUQPUIhw15MytrL,303824.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
4,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Genesis,Justice,/track/4k1kv2p/justice-genesis/index.html,67026, 13:05 ,03,False,731266,969554210,3F412bLncKAopQlhpAJBrX,,168116131,,0.712,0.788,2.0,-5.122,1.0,0.362,0.0202,0.329,0.0978,0.289,117.13,3F412bLncKAopQlhpAJBrX,234960.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
5,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Phantom,Justice,/track/78uv5xp/justice-phantom/index.html,12782, 16:11 ,w/,False,,259752522,2weNFSRqkClXtfBPTteafY,,,,0.627,0.48,2.0,-4.462,1.0,0.0652,0.00817,0.014,0.179,0.102,117.009,2weNFSRqkClXtfBPTteafY,262267.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
6,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Phantom,Justice,/track/78uv5xp/justice-phantom/index.html,12782, 17:50 ,04,False,,259752522,2weNFSRqkClXtfBPTteafY,,,,0.627,0.48,2.0,-4.462,1.0,0.0652,0.00817,0.014,0.179,0.102,117.009,2weNFSRqkClXtfBPTteafY,262267.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
7,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Pleasure,Justice,/track/2wjxblgp/justice-pleasure/index.html,351874, 18:40 ,w/,False,8651380,1151158242,19ts4uqOimLvSbu4DyOWE2,,280928877,,0.562,0.716,9.0,-5.716,0.0,0.0287,0.0462,2.64e-05,0.307,0.555,103.027,19ts4uqOimLvSbu4DyOWE2,255961.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
8,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Civilization,Justice,/track/51vc1ff/justice-civilization/index.html,30937, 20:42 ,w/,False,,,,,,SVq2yMuAMVQ,,,,,,,,,,,,,,,
9,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Helix,Justice,/track/184wy65/justice-helix/index.html,47320, ,w/,False,,,,,,BYY1iTyWa54,,,,,,,,,,,,,,,
10,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Heavy Metal,Justice,/track/1qc0pwxx/justice-heavy-metal/index.html,351875, ,05,False,8651386,1151158436,621W0YFtYurfPC6hwvmWgc,,280928862,,0.518,0.702,9.0,-5.039,1.0,0.0299,0.000367,0.841,0.396,0.23,117.014,621W0YFtYurfPC6hwvmWgc,270859.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
11,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - DVNO,Justice,/track/8hr8ryx/justice-dvno/index.html,17655, ,w/,False,,259753415,7pdDBqpilpdW7c40DpFMW9,,4079269,,0.659,0.945,8.0,-3.746,1.0,0.271,0.00894,0.000933,0.291,0.6,119.928,7pdDBqpilpdW7c40DpFMW9,236133.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
12,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Stress,Justice,/track/76sjryp/justice-stress/index.html,43234, 28:30 ,06,False,,1297927135,2R4nLNFAyIEpCUfW8FyRWs,,60566445,,0.518,0.922,1.0,-5.817,1.0,0.114,0.00257,0.836,0.303,0.271,126.954,2R4nLNFAyIEpCUfW8FyRWs,298573.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
13,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Love S.O.S.,Justice,/track/2fmq9fg5/justice-love-s.o.s./index.html,339032, 33:40 ,07,False,8651387,1151158443,3K3gJEbDUQPUIhw15MytrL,,280928873,,0.185,0.718,10.0,-5.791,1.0,0.0468,0.0362,2.23e-06,0.166,0.0488,113.136,3K3gJEbDUQPUIhw15MytrL,303824.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
14,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Alakazam!,Justice,/track/28yh0wdp/justice-alakazam/index.html,331802, 38:58 ,08,False,8651381,1151158388,4OF8TKZl9aMlZ449eBrkna,,280928852,,0.58,0.796,4.0,-7.303,1.0,0.0428,0.000245,0.849,0.173,0.154,118.99,4OF8TKZl9aMlZ449eBrkna,311490.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
15,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice ft. M. Yaman - Fire,Justice,/track/29wfs9mf/justice-fire/index.html,337105, 42:25 ,w/,False,8651382,1151158427,2X1XxaSRBqdJBcfyothrjT,,280928880,,0.584,0.66,7.0,-5.91,0.0,0.0278,0.000664,0.0,0.303,0.508,113.046,2X1XxaSRBqdJBcfyothrjT,334225.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
16,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Love S.O.S.,Justice,/track/2fmq9fg5/justice-love-s.o.s./index.html,339032, ,w/,False,8651387,1151158443,3K3gJEbDUQPUIhw15MytrL,,280928873,,0.185,0.718,10.0,-5.791,1.0,0.0468,0.0362,2.23e-06,0.166,0.0488,113.136,3K3gJEbDUQPUIhw15MytrL,303824.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
17,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Waters Of Nazareth,Justice,/track/80zr0vx/justice-waters-of-nazareth/index.html,23195, 44:46 ,09,False,,,,,,1SEgoi7kjw8,,,,,,,,,,,,,,,
18,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice vs. Simian - We Are Your Friends (Acappella),Justice vs. Simian,/track/gkhh8x/justice-simian-we-are-your-friends-acappella/index.html,8095, 49:12 ,10,False,627101,,,,,,,,,,,,,,,,,,,,
19,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Phantom Pt. II,Justice,/track/418x67x/justice-phantom-part-ii/index.html,37867, 49:12 ,w/,False,,,,,,5QCBkwmsOk0,,,,,,,,,,,,,,,
20,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Alakazam!,Justice,/track/28yh0wdp/justice-alakazam/index.html,331802, 49:46 ,w/,False,8651381,1151158388,4OF8TKZl9aMlZ449eBrkna,,280928852,,0.58,0.796,4.0,-7.303,1.0,0.0428,0.000245,0.849,0.173,0.154,118.99,4OF8TKZl9aMlZ449eBrkna,311490.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
21,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Chorus,Justice,/track/2rwjhxsp/justice-chorus/index.html,372362, 52:20 ,11,False,,1151158434,2o1IgDtVvJyajUiAeomCqI,,,,0.387,0.702,6.0,-5.675,0.0,0.0445,0.00629,0.0211,0.146,0.0782,146.968,2o1IgDtVvJyajUiAeomCqI,429321.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
22,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,"Justice - Audio, Video, Disco",Justice,/track/124mxqp/justice-audio-video-disco/index.html,45698, 57:39 ,w/,False,,,,,,lqBhgEQ4LT0,,,,,,,,,,,,,,,
23,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice ft. Johnny Blake - Stop,Justice,/track/2stc8tm5/justice-stop/index.html,339964, 1:00:57 ,w/,False,8651383,1151158431,0WQbCSbujb6bSPVENrWYrl,,,,0.525,0.634,1.0,-5.866,1.0,0.037,0.075,0.000106,0.113,0.661,170.065,0WQbCSbujb6bSPVENrWYrl,297316.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
24,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Randy,Justice,/track/1c4ppm55/justice-randy/index.html,327844, 1:04:03 ,12,False,,1151158435,5cOKKOFgMhjZaOT5qvnagi,,280928908,,0.615,0.668,2.0,-5.343,1.0,0.027,0.000975,9.45e-05,0.282,0.158,100.453,5cOKKOFgMhjZaOT5qvnagi,398194.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
25,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Randy (Boys Noize Remix),Justice,/track/y4ccx2f/justice-randy-boys-noize-remix/index.html,358397, 1:09:43 ,w/,False,,1330521130,3vkXW8i5axh0833qT0YuFA,,319207881,,0.656,0.993,10.0,-5.986,0.0,0.0952,0.00366,0.0289,0.382,0.4,115.993,3vkXW8i5axh0833qT0YuFA,370134.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
26,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Horsepower,Justice,/track/2h80tnx/justice-horsepower/index.html,59215, 1:11:44 ,w/,False,,469202500,4RWp46k6W4T1SISIuzgpH1,,,,0.585,0.876,0.0,-4.608,1.0,0.0742,0.00273,0.42,0.221,0.213,116.974,4RWp46k6W4T1SISIuzgpH1,219080.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
27,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - D.A.N.C.E.,Justice,/track/8vts3uf/justice-d.a.n.c.e./index.html,22909, ,w/,False,484485,259751997,0MYTcPXAAmeKBUpBgtAV0J,,18561928,,0.594,0.961,6.0,-5.443,0.0,0.338,0.0463,0.0,0.853,0.531,113.126,0MYTcPXAAmeKBUpBgtAV0J,209987.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
28,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - D.A.N.C.E.,Justice,/track/8vts3uf/justice-d.a.n.c.e./index.html,22909, ,13,False,484485,259751997,0MYTcPXAAmeKBUpBgtAV0J,,18561928,,0.594,0.961,6.0,-5.443,0.0,0.338,0.0463,0.0,0.853,0.531,113.126,0MYTcPXAAmeKBUpBgtAV0J,209987.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
29,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice - Safe And Sound,Justice,/track/2crfj0hf/justice-safe-and-sound/index.html,316545, ,w/,False,8156323,1151158104,5pqbHlHaVbkHJQlsAxhcZM,0KzJq2cbmQ7PgVa7dfaJfg,272628896,,0.602,0.793,6.0,-5.198,0.0,0.0623,7.79e-05,0.139,0.0968,0.583,115.001,5pqbHlHaVbkHJQlsAxhcZM,345304.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
30,zu8mtf9,"Justice @ Google I/O, United States 2018-05-10","Thu, May 10 2018",1261,1,all,31,Electro House,Justice ft. M. Yaman - Fire,Justice,/track/29wfs9mf/justice-fire/index.html,337105, ,w/,False,8651382,1151158427,2X1XxaSRBqdJBcfyothrjT,,280928880,,0.584,0.66,7.0,-5.91,0.0,0.0278,0.000664,0.0,0.303,0.508,113.046,2X1XxaSRBqdJBcfyothrjT,334225.0,4.0,"alternative dance,dance-punk,disco house,electro house,electronica,filter house,indietronica,new rave"
